time_start_loading,time_sweeping_start,time_bfgs_start,time_done
127763.300255399,127763.313902317,127779.072784636,127819.479625314
128455.211121712,128455.222534777,128470.91559067,128510.796317061
113973.989751971,113974.000102799,113989.589082763,114028.813445185
128034.109757419,128034.118480409,128049.767944575,128088.329748734
128245.338918881,128245.347589448,128261.046611285,128301.078857854
128360.991181488,128361.001059932,128376.566450147,128415.231941302
114296.465137002,114296.473961403,114312.132029121,114349.765255742
127924.762341642,127924.774760028,127940.48901783,127978.357396918
114079.541015115,114079.549881697,114095.111607688,114132.773155901
128512.56117378,128512.570110339,128528.346078519,128568.067012028
128509.568356813,128509.577410178,128525.332192024,128563.064548873
127709.478218469,127709.492473199,127725.315506416,127763.79811801
127709.374234827,127709.417522761,127725.011135965,127762.690126068
128354.894289247,128354.903038483,128370.570343322,128408.084085607
113919.910936046,113919.921062659,113935.576159455,113975.670399466
114131.41338884,114131.422182548,114147.142971584,114184.497348534
127816.825778448,127816.836048509,127832.394780229,127872.130780331
114026.146542224,114026.155538853,114041.663387429,114079.536894489
114024.868274831,114024.877227034,114040.735657222,114078.032288368
128406.698055613,128406.706961582,128422.502617475,128462.231354184
128303.41638925,128303.42535745,128319.148879238,128357.66580912
114344.395578462,114344.405150021,114360.060448717,114396.954674542
114457.353311489,114457.362262684,114472.994283636,114510.520155431
113919.899205453,113919.909752644,113935.524531693,113972.857318443
128419.810361138,128419.820417486,128435.446809171,128473.933457647
114297.652676574,114297.661701689,114313.307437344,114352.979454433
128140.637793763,128140.646653443,128156.32339957,128194.651241247
114081.06800885,114081.076562863,114096.662971251,114134.922934689
128405.860946925,128405.870502693,128421.522125003,128459.08786857
114080.010834519,114080.020139252,114095.683999185,114133.432752944
114342.802453791,114342.811420638,114358.25318123,114395.565881174
114349.769109973,114349.778020123,114365.502091726,114403.670787824
113972.9501883,113972.959742711,113988.545705054,114025.555623827
128461.852264796,128461.861220111,128477.60088007,128515.118547765
127872.134561102,127872.143433539,127887.8266155,127926.281422668
127927.114981583,127927.124624014,127942.7599862,127982.481003791
114452.790093242,114452.799424707,114468.427744293,114506.797292807
128240.104727731,128240.114155516,128255.754090343,128293.156793058
114290.354354211,114290.363255279,114305.990964297,114343.766379917
127977.127393348,127977.136559882,127992.862883469,128031.580965023
128032.971052878,128032.979913144,128048.401404986,128087.024877629
114190.79951927,114190.808810193,114207.399877797,114247.372749519
113866.483516866,113866.494385654,113882.332983022,113919.517410098
127872.943820558,127872.956964907,127888.640959651,127928.096045223
128083.675928498,128083.685866858,128099.301095579,128136.728665509
128137.057193302,128137.067370595,128152.706046462,128190.120969965
128248.446342094,128248.455031318,128263.834932888,128301.251343664
128236.469571204,128236.47861762,128252.035003225,128288.649277976
127971.763426567,127971.777267657,127987.678626549,128028.129500581
128251.911589675,128251.92047091,128267.512047622,128306.142389857
113866.44253528,113866.472282095,113882.556726034,113920.108187613
114463.672995568,114463.681661675,114479.305121782,114518.513762536
114608.711240701,114608.720772751,114624.340080241,114661.905281211
114446.983509657,114446.992375558,114462.536592365,114499.865635932
127816.972302889,127816.981191414,127832.717986636,127870.188081611
127976.546892551,127976.555750031,127992.260713978,128029.797589647
128470.089395275,128470.098071519,128485.798204359,128525.788620912
128466.468482855,128466.477332707,128482.221804405,128521.602021223
128148.124434277,128148.133259992,128163.745147522,128203.033161035
127709.375689664,127709.417606883,127725.427548051,127764.465246933
113921.240296325,113921.249922768,113936.851836152,113976.216667519
113920.787728455,113920.798307628,113936.342176133,113974.724855409
114350.677513415,114350.687487298,114366.228023768,114405.040942926
127709.497493398,127709.511784048,127725.490747865,127763.488807726
114251.219843937,114251.228805349,114266.877135456,114306.408349018
114512.623348597,114512.63215805,114528.071935043,114566.810712039
128038.159615553,128038.168487962,128053.769184939,128093.091717427
128146.778200785,128146.788219801,128162.525447135,128201.973755483
127978.08157341,127978.090429643,127993.845507693,128032.093148994
114132.112422386,114132.121299825,114147.633850253,114185.427846417
114027.399269516,114027.40787814,114043.007194361,114080.346383481
114629.477664426,114629.486623827,114644.992312029,114685.674968078
114189.88907849,114189.898137176,114205.406763131,114245.155822033
128530.139784385,128530.15002531,128545.894524721,128585.20097154
128467.501926535,128467.510780594,128483.186982162,128521.47602546
127764.034902937,127764.043640682,127779.683129746,127817.988766618
114240.196655443,114240.205388985,114255.622437086,114292.865824908
127925.977674178,127925.986392459,127941.652075054,127979.764666336
128426.309746009,128426.320090935,128442.123359724,128480.043946089
114510.523862077,114510.533461265,114526.232280091,114563.327719981
114294.499603291,114294.508617676,114309.929664762,114346.86192513
113974.482558875,113974.491453587,113990.220019407,114029.104711726
127709.410461499,127709.420635327,127725.559746636,127763.751576664
114081.790450025,114081.799576085,114097.411760549,114135.028560264
128184.163970795,128184.173066381,128199.888095084,128237.366489245
128243.281714421,128243.290599234,128258.859172561,128296.393199498
114405.044766227,114405.053451973,114420.731870638,114459.117551405
114578.587806114,114578.596687114,114594.238680486,114634.372094264
114026.685199801,114026.694074906,114042.572170981,114079.83223832
113866.440470716,113866.472239873,113882.330106008,113919.705350678
114414.832720689,114414.843135625,114430.472209039,114471.015521785
127928.972596684,127928.981253085,127944.586244415,127984.818570644
128294.338683965,128294.347576868,128309.925874418,128347.248965117
114661.060345679,114661.069963764,114676.823379108,114716.91044221
128429.45943753,128429.469328888,128445.120708088,128485.172191582
113972.362061216,113972.372045492,113988.036143343,114028.122022208
127875.678840353,127875.689586378,127891.291803124,127928.250069881
114081.25934873,114081.268248246,114096.741036263,114134.502946615
128200.982404826,128200.99472681,128216.775686054,128253.582777549
128251.61074802,128251.619584148,128267.281775843,128307.630101815
113921.64967472,113921.658407917,113937.326578439,113975.794996327
114027.305068286,114027.31397449,114042.991109668,114080.654067869
127763.146593174,127763.155608346,127779.049899495,127816.968573139
