n_samples,number_of_nodes,cores_per_node,compute_time_sec
60000,1,256,24751.002608516952
60000,1,256,24696.010504974052
60000,1,256,24662.64590924885
60000,2,256,12804.848704348318
60000,2,256,12814.204138627974
60000,2,256,12859.607578170951
60000,4,256,6458.015356491
60000,4,256,6586.611955899978
60000,4,256,6514.4845761870965
60000,8,256,3447.4537180042826
60000,8,256,3405.8326575669926
60000,8,256,3630.7894259570166
60000,16,256,2017.454381802585
60000,16,256,1936.822203112999
60000,16,256,1934.8311070790514
60000,32,256,1645.613519886043
60000,32,256,1674.32850451814
60000,32,256,1501.3738876711577
