time_start_loading,time_sweeping_start,time_bfgs_start,time_done
108235.424494871,108235.440521302,108266.688038486,108338.234900317
21773.93151226,21773.944301965,21804.616439115,21875.037718923
108021.448358826,108021.461831142,108051.062106775,108121.610674774
21979.897676144,21979.911672242,22011.065566161,22081.557410755
22299.156297948,22299.171864743,22330.053765206,22403.462766093
21978.77105809,21978.786741109,22009.659084781,22080.518157249
21774.021293465,21774.036902348,21805.821311353,21881.327851718
108131.286733158,108131.302628409,108162.759824393,108234.511606655
21976.229791345,21976.245325095,22006.642138994,22076.363698291
108530.14800876,108530.16847894,108560.158150864,108634.214743143
21982.447140138,21982.463388995,22013.452603545,22085.052252944
22071.763131359,22071.778624962,22102.013987666,22170.796815681
22383.406936644,22383.42445304,22415.216448096,22488.049878632
22303.205106423,22303.221971376,22333.048940929,22408.090893272
21979.347889536,21979.363685203,22010.239696956,22081.799974524
21876.732161,21876.747754573,21907.278146601,21977.9003041
108441.031169587,108441.047226962,108471.13467144,108545.195542459
108227.896590062,108227.925114903,108259.374376166,108335.921241038
22378.717728458,22378.733084687,22408.607234944,22480.996946498
108342.607615806,108342.624584341,108373.962247826,108449.406094252
22414.608489399,22414.624826799,22444.151748795,22519.588582934
108445.354216201,108445.39437657,108476.93655463,108552.384418926
108026.031430911,108026.044662141,108057.523869384,108129.602333343
22287.870092461,22287.886780231,22318.614102308,22389.382903573
108525.002601712,108525.01679417,108554.253242693,108624.833397455
108551.899375901,108551.916654427,108583.129016891,108656.717258567
22191.069745623,22191.101794867,22221.902887577,22298.819682633
22504.04290969,22504.059967541,22535.42893459,22612.311155703
108542.657638933,108542.672958511,108573.223776173,108645.049933164
108429.046507338,108429.059156371,108459.700873737,108530.003433694
22085.243589173,22085.258980829,22116.383732316,22187.466566686
108441.775271289,108441.792110446,108473.803257852,108549.155244572
21879.161245839,21879.177215492,21909.650947277,21980.988421829
108557.400342024,108557.416048741,108587.719453614,108663.545553086
22295.837541285,22295.853518525,22326.592689225,22398.185098515
108647.92266255,108647.938049728,108678.282838865,108751.572057854
21876.786919013,21876.802212725,21907.870939215,21979.793854127
21982.180781488,21982.196643805,22013.57001815,22085.694123849
22089.175795602,22089.191174323,22120.326779537,22192.837608097
108130.770678172,108130.787201929,108161.682267724,108238.246273818
22076.662982027,22076.679020397,22107.276047918,22178.433969117
21773.787899602,21773.801651152,21805.66863513,21879.926276348
22177.067062418,22177.084316903,22207.249120593,22283.138251586
22175.696361118,22175.712770864,22206.031552539,22276.698542461
108548.204844523,108548.221422455,108578.584541881,108652.153027188
22482.170069985,22482.185907058,22512.164997281,22583.334391509
107919.360516359,107919.371822198,107952.056686331,108024.481691752
21876.089692449,21876.105290823,21907.614414013,21982.92313671
22414.878427939,22414.894754316,22445.382512684,22521.993382533
108239.6685535,108239.684448747,108269.384821642,108344.762523023
22188.940189735,22188.955739617,22220.448465041,22292.253202072
107919.60814268,107919.624952026,107950.590907867,108020.898759109
108633.916170114,108633.931692795,108660.556582763,108732.81428109
21975.964513793,21975.980749704,22006.334058427,22076.004582261
22171.20833767,22171.240872049,22201.238558877,22279.518600858
22285.892295546,22285.918952509,22317.648378751,22389.07614882
22182.502750919,22182.517444095,22212.69631444,22283.132693161
22505.618179994,22505.634529131,22536.253990996,22606.772077105
22485.865838624,22485.882534273,22515.110819852,22586.214895379
22082.439084331,22082.455092733,22113.652601172,22184.513605283
22196.566162187,22196.5829501,22227.874437919,22303.844867043
108444.480233022,108444.496283713,108475.804039376,108548.565478915
22511.393888392,22511.432474228,22541.040967609,22614.529542592
21982.375477929,21982.391898098,22013.220657195,22084.636367691
22181.445236449,22181.461014449,22212.325955553,22283.821240402
108330.688178425,108330.704644189,108360.942775166,108433.579841112
108021.149976929,108021.160868617,108051.183937644,108120.722712514
108238.285038143,108238.300855991,108269.670466047,108342.564730399
108131.515448568,108131.531440276,108162.069408967,108235.366709125
108544.646151295,108544.662091984,108574.622723275,108646.15865821
