subcircuit_size, circuit_cutting_reconstruct_time_secs, circuit_cutting_total_runtime_secs, num_pilots
             12,                           5.538336039,                       179.9523342 ,          1
             10,                           5.835747004,                        95.38344026,          1
              8,                          11.15279722 ,                        67.36185026,          1
              6,                          13.85101628 ,                        57.6095078 ,          1
              4,                          21.92895198 ,                        65.32424927,          1
              2,                          41.2574439  ,                       103.4571931 ,          1
             12,                           5.763589859,                       141.8934338 ,          2
             10,                           5.77043581 ,                        67.17110991,          2
              8,                          10.84507418 ,                        50.74889302,          2
              6,                          13.55502391 ,                        46.6714282 ,          2
              4,                          21.46128583 ,                        53.76095176,          2
             12,                           5.788479805,                       132.850765  ,          2
             10,                           5.667867184,                        67.03529596,          2
              8,                          10.92018104 ,                        52.34697008,          2
              6,                          13.77980399 ,                        46.66698694,          2
              4,                          22.24591613 ,                        54.82285786,          2
              2,                          41.39141989 ,                        81.16112685,          2
             12,                           5.920798063,                       134.2251494 ,          3
             10,                           5.696179867,                        59.77961493,          3
              8,                          10.7722311  ,                        48.46804404,          3
              6,                          13.81239295 ,                        46.06379318,          3
              4,                          22.13474798 ,                        50.6078732 ,          3
              2,                          41.06589007 ,                        73.57885289,          3
              4,                          22.00993299 ,                        49.70545101,          3
              2,                          40.31425261 ,                        71.43554711,          3
             12,                           5.427180767,                       133.8861499 ,          4
             10,                           5.566176891,                        61.41546988,          4
              8,                          10.88302708 ,                        47.73510313,          4
              6,                          13.53482223 ,                        45.93178821,          4
              4,                          22.31379199 ,                        50.1189301 ,          4
              2,                          41.78262877 ,                        71.0516479 ,          4
             12,                           5.780079842,                       168.800323  ,          1
             10,                           5.81192112 ,                        97.53710794,          1
              8,                          10.45918894 ,                        63.70112705,          1
              6,                          13.48673701 ,                        57.47624803,          1
              4,                          21.42153287 ,                        64.77102208,          1
              2,                          40.96092629 ,                       103.49806   ,          1
